year,category,n,Num_Trans,Area,Property_Type
2010,BARKER TERRACES,1134,2,Novena,Terrace House
2010,BAROSSA GARDENS,755,3,Queenstown,Terrace House
2010,BARTLEY GROVE,445,3,Serangoon,Apartment
2010,BARTLEY RISE ESTATE,762,8,Serangoon,Semi-Detached House
2010,BARTLEY TERRACE,549,1,Serangoon,Condominium
2010,BARTLEY VILLAS,624,6,Serangoon,Semi-Detached House
2010,BAYOU RESIDENCE,816,3,Serangoon,Apartment
2010,BAYSHORE PARK,859,98,Bedok,Condominium
2010,BAYSHORE TERRACE,879,1,Bedok,Terrace House
2010,BAYVILLE CONDOMINIUM,738,9,Queenstown,Condominium
2010,BAYWATER,692,20,Bedok,Condominium
2010,BEAU VISTA,581,4,Bedok,Terrace House
2010,BEAUFORT ON NASSIM,3299,1,Tanglin,Condominium
2010,BEAUTY GARDEN,699,6,Sengkang,Terrace House
2010,BEAUTY WORLD CENTRE,543,2,Bukit Timah,Apartment
2010,BEAVERTON COURT,1096,2,Bukit Timah,Condominium
2010,BEDOK COURT,609,27,Bedok,Condominium
2010,BEDOK PARK,816,3,Bedok,Semi-Detached House
2010,BEDOK PESARI,739,9,Bedok,Semi-Detached House
2010,BEDOK RIA,794,5,Bedok,Semi-Detached House
2010,BEDOK SHOPPING COMPLEX,273,3,Bedok,Apartment
2010,BEDOKVILLE,795,8,Bedok,Detached House
2010,BELGRAVIA PARK,770,1,Serangoon,Terrace House
2010,BELLA VISTA,875,4,Serangoon,Apartment
2010,BELMOND GREEN,1565,19,Tanglin,Condominium
2010,BELMONDO VIEW,865,3,Novena,Apartment
2010,BENA PARK,583,2,Changi,Semi-Detached House
2010,BENG TONG MANSION,1125,5,Marine Parade,Apartment
2010,BEVERLY HILL,2058,2,Tanglin,Condominium
2010,BINJAI CREST,563,13,Bukit Timah,Terrace House
2010,BINJAI PARK,974,14,Bukit Timah,Apartment
2010,BIRCHWOOD MANSIONS,715,1,Novena,Apartment
2010,BIRMINGHAM MANSIONS,1203,7,Novena,Apartment
2010,BISHAN 8,887,11,Bishan,Condominium
2010,BISHAN LOFT,824,28,Bishan,Executive Condominium
2010,BISHAN PARK CONDOMINIUM,642,8,Bishan,Condominium
2010,BISHAN POINT,753,27,Bishan,Condominium
2010,BLAIR PLAIN CONSERVATION AREA,1971,5,Bukit Merah,Terrace House
2010,BLEU @ EAST COAST,858,4,Bedok,Condominium
2010,BLISS REGALIA,1039,2,Kallang,Apartment
2010,BLISS RESIDENCES,1034,8,Bedok,Apartment
2010,BLISSFUL VIEW,1164,1,Bukit Timah,Apartment
2010,BLOSSOM GARDENS,882,3,Serangoon,Terrace House
2010,BLOSSOM VIEW,591,8,Geylang,Apartment
2010,BLOSSOMS @ WOODLEIGH,968,13,Toa Payoh,Condominium
2010,BLU CORAL,832,16,Bedok,Condominium
2010,BLUE HORIZON,858,75,Clementi,Condominium
2010,BLUWATERS,779,6,Pasir Ris,Apartment
2010,BOON COURT,521,1,Geylang,Apartment
2010,BOON SING BUILDING,1027,1,Downtown Core,Apartment
2010,BOON TECK APARTMENTS,771,1,Novena,Apartment
2010,BOON TECK LODGE,851,6,Novena,Apartment
2010,BOON TECK TOWERS,739,6,Novena,Condominium
2010,BOONVIEW,979,8,Bishan,Condominium
2010,BOTANIC GARDENS MANSION,1496,2,Tanglin,Apartment
2010,BOTANIC GARDENS VIEW,1776,2,Tanglin,Apartment
2010,BOTANIKA,2028,6,Tanglin,Apartment
2010,BOTANNIA,979,26,Clementi,Condominium
2010,BOUGAINVILLA APARTMENTS,600,2,Geylang,Apartment
2010,BRADDELL HEIGHTS ESTATE,942,17,Serangoon,Detached House
2010,BRADDELL PARK,814,3,Serangoon,Condominium
2010,BRADDELL VIEW,637,60,Toa Payoh,Apartment
2010,BREEZY MANSIONS,787,1,Hougang,Apartment
2010,BRIGHT GARDEN,479,1,Bedok,Terrace House
2010,BRIGHTON VIEW,633,3,Serangoon,Condominium
2010,BRISTOL LODGE,846,1,Kallang,Apartment
2010,BRIZAY PARK,941,1,Bukit Timah,Detached House
2010,BROOKVALE PARK,795,2,Clementi,Condominium
2010,BUCKLEY 18,1652,4,Novena,Apartment
2010,BUKIT LOYANG ESTATE,587,5,Pasir Ris,Semi-Detached House
2010,BUKIT REGENCY,803,13,Bukit Timah,Condominium
2010,BULLION PARK,768,35,Ang Mo Kio,Condominium
2010,BUONA LODGE,758,1,Queenstown,Condominium
2010,BUONA VISTA GARDENS,683,3,Queenstown,Condominium
2010,BURGUNDY HILL,627,7,Bukit Batok,Semi-Detached House
2010,BURLINGTON SQUARE,1110,30,Rochor,Apartment
2010,BUTTERWORTH 33,727,2,Geylang,Apartment
2010,BUTTERWORTH 8,935,27,Geylang,Condominium
2010,BUTTERWORTH VIEW,839,1,Geylang,Apartment
2010,CADENCE LIGHT,919,1,Bedok,Apartment
2010,CAI GARDEN,556,1,Bedok,Condominium
2010,CAIRNHILL ASTORIA,1659,3,Newton,Apartment
2010,CAIRNHILL CONSERVATION AREA,2926,2,Newton,Terrace House
2010,CAIRNHILL CREST,1988,21,Newton,Condominium
2010,CAIRNHILL HEIGHTS,1561,1,Newton,Apartment
2010,CAIRNHILL PLAZA,1613,6,Newton,Apartment
2010,CALARASI,857,5,Novena,Apartment
2010,CALDECOTT HILL ESTATE,833,4,Novena,Detached House
2010,CAMAY COURT,721,2,Bedok,Apartment
2010,CAMBRIDGE VILLAGE,661,1,Kallang,Apartment
2010,CAMDEN PARK,935,3,Novena,Detached House
2010,CAMELIA PARK,623,1,Serangoon,Semi-Detached House
2010,CAMELLIA LODGE,587,2,Geylang,Apartment
2010,CAMELODGE,594,1,Bedok,Apartment
2010,CAMELOT BY-THE-WATER,1486,6,Kallang,Condominium
2010,CAMWOOD PARK,1139,1,Tanglin,Detached House
2010,CANARY PARK,776,2,Bedok,Terrace House
2010,CANARY VILLE,795,4,Bedok,Apartment
2010,CANBERLIN APARTMENTS,501,5,Geylang,Apartment
2010,CANBERLIN LODGE,508,1,Geylang,Apartment
2010,CANDEVILLE,674,1,Bedok,Apartment
2010,CANNAVILLE,723,1,Marine Parade,Apartment
2010,CAPITOL PARK,1382,4,Novena,Detached House
2010,CARABELLE,971,6,Clementi,Condominium
2010,CARDIFF COURT,445,1,Serangoon,Condominium
2010,CARIBBEAN AT KEPPEL BAY,1433,118,Bukit Merah,Condominium
2010,CARISSA PARK CONDOMINIUM,705,66,Pasir Ris,Condominium
2010,CARLYX GREEN,1120,1,Kallang,Apartment
2010,CARMI MANSION,584,5,Geylang,Apartment
2010,CASA AROMA,846,3,Geylang,Apartment
2010,CASA CAIRNHILL,1538,2,Newton,Apartment
2010,CASA EMERALD,623,7,Geylang,Apartment
2010,CASA ESPANIA,589,3,Serangoon,Apartment
2010,CASA ESPERANZA,1224,1,Bukit Timah,Condominium
2010,CASA FELIZ,781,1,Geylang,Apartment
2010,CASA FLORA,559,4,Bedok,Condominium
2010,CASA IRRAWADDY,953,4,Novena,Apartment
2010,CASA JERVOIS,1222,1,Tanglin,Apartment
2010,CASA MERAH,930,35,Bedok,Apartment
2010,CASA MEYFORT,1197,10,Marine Parade,Condominium
2010,CASA NOVACREST,1283,2,Newton,Apartment
2010,CASA PASIR RIS,647,4,Pasir Ris,Condominium
2010,CASA RIVIERA,756,5,Serangoon,Apartment
2010,CASA ROSA,651,14,Serangoon,Condominium
2010,CASA SARINA,746,17,Bedok,Condominium
2010,CASABELLA,1243,10,Bukit Timah,Condominium
2010,CASABLANCA,670,61,Woodlands,Condominium
2010,CASAFINA,712,23,Bedok,Condominium
2010,CASCADALE,599,12,Tampines,Condominium
2010,CASCATA,700,3,Bedok,Apartment
2010,CASERO @ DUNMAN,1000,1,Geylang,Apartment
2010,CASHEW HEIGHTS CONDOMINIUM,778,23,Bukit Panjang,Condominium
2010,CASHEW PARK CONDOMINIUM,705,10,Bukit Panjang,Condominium
2010,CASHEW VILLAS,885,3,Bukit Panjang,Terrace House
2010,CASSIA VIEW,960,62,Geylang,Apartment
2010,CASTLE GREEN,677,55,Ang Mo Kio,Condominium
2010,CASUARINA COVE,1035,12,Kallang,Condominium
2010,CATHAY GARDENS,1005,1,Bedok,Terrace House
2010,CAVENAGH COURT,1375,3,Newton,Apartment
2010,CAVENAGH GARDENS,1159,8,Newton,Apartment
2010,CAVENAGH HOUSE,1435,6,Newton,Apartment
2010,CAVENDISH PARK,926,36,Bukit Timah,Condominium
2010,CELADON VIEW,551,4,Pasir Ris,Apartment
2010,CELESTIA,952,13,Geylang,Apartment
2010,CENTRAL GREEN CONDOMINIUM,1025,30,Bukit Merah,Condominium
2010,CENTRAL GROVE,725,19,Geylang,Condominium
2010,CENTRAL MEADOWS,699,3,Geylang,Apartment
2010,CENTRAL VIEW,714,10,Hougang,Condominium
2010,CENTREPOINT,1846,3,Orchard,Apartment
2010,CENTRO MANSIONS,644,3,Geylang,Apartment
2010,CENTURION 12,564,1,Bishan,Semi-Detached House
2010,CENTURY MANSIONS,712,10,Bukit Batok,Apartment
2010,CENTURY WOODS,776,10,Woodlands,Terrace House
2010,CEYLON COURT,784,1,Marine Parade,Terrace House
2010,CEYLON CREST,714,1,Marine Parade,Apartment
2010,CHANCERY COURT,1093,10,Novena,Condominium
2010,CHANCERY ESQUIRE,1281,4,Novena,Apartment
2010,CHANCERY GARDEN,1170,1,Novena,Condominium
2010,CHANCERY PARK,1299,3,Novena,Condominium
2010,CHANGI COURT,746,28,Tampines,Condominium
2010,CHANGI GARDEN,540,5,Pasir Ris,Apartment
2010,CHANGI GREEN,713,12,Tampines,Condominium
2010,CHANGI GROVE,562,2,Pasir Ris,Detached House
2010,CHANGI HEIGHTS,816,8,Pasir Ris,Semi-Detached House
2010,CHANGI RISE CONDOMINIUM,693,60,Tampines,Condominium
2010,CHANTILLY RISE,768,14,Bukit Batok,Condominium
2010,CHAPEL LODGE,813,2,Marine Parade,Condominium
2010,CHARISMA VIEW,820,4,Bukit Timah,Apartment
2010,CHARLESTON,1203,4,Tanglin,Apartment
2010,CHARLTON CORNER,646,1,Hougang,Apartment
2010,CHARLTON COURT,617,2,Hougang,Apartment
2010,CHARLTON PARK,700,19,Hougang,Semi-Detached House
2010,CHARMING GARDEN,1100,3,Bukit Timah,Condominium
2010,CHATEAU ELIZA,1596,3,Newton,Apartment
2010,CHATEAU LE FAME,1107,3,Tanglin,Apartment
2010,CHATELET,1239,4,Tanglin,Condominium
2010,CHELSEA GARDENS,1578,5,Tanglin,Condominium
2010,CHELSEA GROVE,617,2,Novena,Apartment
2010,CHELSEA LODGE,803,7,Marine Parade,Apartment
2010,CHEN FANG MANSIONS,587,1,Geylang,Apartment
2010,CHENG SOON GARDEN,952,5,Bukit Timah,Detached House
2010,CHEOW KENG GARDEN,786,1,Marine Parade,Terrace House
2010,CHERRY GARDENS,749,4,Serangoon,Apartment
2010,CHERRYHILL,699,9,Serangoon,Condominium
2010,CHESTER PARK,938,1,Queenstown,Terrace House
2010,CHESTERVALE,517,37,Bukit Panjang,Executive Condominium
2010,CHESTNUT GARDENS,1028,1,Bukit Panjang,Terrace House
2010,CHESTNUT RESIDENCES,691,1,Bukit Panjang,Terrace House
2010,CHESTNUT VILLE,610,2,Bukit Panjang,Condominium
2010,CHILTERN PARK,762,55,Serangoon,Condominium
2010,CHIP HOCK GARDENS,1271,3,Tanglin,Semi-Detached House
2010,CHIP THYE GARDEN,755,5,Ang Mo Kio,Terrace House
2010,CHIVERTON,1123,1,Tanglin,Apartment
2010,CHONG KIM APARTMENT,810,1,Novena,Apartment
2010,CHOON KIM HOUSE,567,1,Hougang,Apartment
2010,CHUAN GREEN,698,2,Serangoon,Semi-Detached House
2010,CHUAN HOE GARDENS,775,1,Hougang,Terrace House
2010,CHUAN PARK,733,36,Serangoon,Condominium
2010,CHUAN SEVEN,815,1,Serangoon,Terrace House
2010,CHUAN TERRACE,730,2,Serangoon,Terrace House
2010,CHUAN VILLAS,907,2,Serangoon,Terrace House
2010,CHUAN VISTA,724,1,Serangoon,Terrace House
2010,CHUAN VISTA II,761,1,Serangoon,Terrace House
2010,CITY EDGE,1316,13,Novena,Apartment
2010,CITY PLAZA,810,8,Geylang,Apartment
2010,CITY REGENCY,1186,8,Kallang,Apartment
2010,CITY SQUARE RESIDENCES,1242,123,Kallang,Condominium
2010,CITY TOWERS,1411,1,Tanglin,Apartment
2010,CITYLIGHTS,1346,91,Kallang,Condominium
2010,CITYVALE,1249,1,Rochor,Apartment
2010,CLAREMONT,1425,3,River Valley,Apartment
2010,CLAYMORE PLAZA,2000,1,Orchard,Apartment
2010,CLEMENTI PARK,926,33,Clementi,Condominium
2010,CLIFTEN,1344,2,Tanglin,Apartment
2010,CLOVER PARK,963,5,Bishan,Semi-Detached House
2010,CLYDES RESIDENCE,1089,5,Kallang,Apartment
2010,CLYDESVIEW,1010,3,Tanglin,Condominium
2010,COASTAL VILLAS,632,1,Bedok,Semi-Detached House
2010,COASTARINA,884,9,Bedok,Apartment
2010,COMFORT GARDEN,664,1,Choa Chu Kang,Semi-Detached House
2010,COMPASS HEIGHTS,735,68,Sengkang,Apartment
2010,CORAL PARK,949,9,Bishan,Semi-Detached House
2010,CORONA VILLE,1032,11,Bukit Timah,Condominium
2010,CORONATION GROVE,875,1,Bukit Timah,Condominium
2010,CORONATION SHOPPING PLAZA,839,2,Bukit Timah,Apartment
2010,COSMO,1201,2,Geylang,Apartment
2010,COSTA DEL SOL,1074,175,Bedok,Condominium
2010,COSTA ESTE,1085,1,Bedok,Apartment
2010,COSTA RHU,1088,70,Kallang,Condominium
2010,COSY 23,518,2,Geylang,Apartment
2010,COSY LODGE,586,3,Geylang,Apartment
2010,COTE D'AZUR,1069,57,Marine Parade,Condominium
2010,COUNTRY ESQUIRE,762,1,Bishan,Condominium
2010,COUNTRY GRANDEUR,789,7,Bishan,Condominium
2010,COUNTRY PARK CONDOMINIUM,877,23,Bedok,Condominium
2010,COUNTRYVIEW,432,1,Sembawang,Terrace House
2010,CRAIG PLACE,1155,7,Outram,Apartment
2010,CRANE COURT,797,3,Geylang,Apartment
2010,CRESCENDO BUILDING,685,2,Bedok,Apartment
2010,CRESCENDO PARK,826,4,Bedok,Condominium
2010,CROWN CENTRE,735,1,Bukit Timah,Apartment
2010,CRYSTAL COURT,879,2,Tanglin,Apartment
2010,CRYSTAL DE AZURE,734,1,Serangoon,Apartment
2010,CRYSTAL DEW,632,1,Geylang,Apartment
2010,CRYSTAL LODGE,472,6,Geylang,Apartment
2010,CRYSTAL MANSIONS,512,2,Geylang,Apartment
2010,CRYSTAL RHU,1155,7,Kallang,Apartment
2010,CRYSTAL TOWER,1042,1,Tanglin,Apartment
2010,CUSCADEN RESIDENCES,2160,12,Orchard,Condominium
2010,D - HERITAGE APARTMENTS,693,1,Bedok,Apartment
2010,D' CASITA,1060,4,Bedok,Apartment
2010,D' DALVEY,1203,1,Tanglin,Apartment
2010,D' HILLSIDE LOFT,879,2,Queenstown,Apartment
2010,D' KENARIS,543,1,Serangoon,Semi-Detached House
2010,D' MARINE,967,2,Marine Parade,Apartment
2010,D' PALMA,923,3,Bedok,Apartment
2010,D' SILVA TERRACE,954,2,Hougang,Terrace House
2010,D'BANYAN,664,8,Sembawang,Apartment
2010,D'BELLA TERRACE,944,2,Hougang,Terrace House
2010,D'CAMBRIDGE,893,3,Kallang,Apartment
2010,D'ECOSIA,1144,9,Bedok,Condominium
2010,D'EVELYN,1293,5,Novena,Apartment
2010,D'GALLERY,897,2,Bedok,Apartment
2010,D'GROVE VILLAS,2042,4,Newton,Condominium
2010,D'LOTUS,1077,9,Novena,Apartment
2010,D'MANOR,535,12,Bedok,Terrace House
2010,D'SUNRISE,907,1,Geylang,Apartment
2010,D-MANSIONS,698,2,Marine Parade,Apartment
2010,DAHLIA PARK CONDOMINIUM,659,32,Pasir Ris,Condominium
2010,DAIRY FARM ESTATE,817,12,Bukit Panjang,Condominium
2010,DAISY APARTMENTS,604,1,Serangoon,Apartment
2010,DAISY LODGE,713,3,Serangoon,Apartment
2010,DAISY PARK,747,3,Serangoon,Terrace House
2010,DAISY TERRACE,830,1,Serangoon,Terrace House
2010,DALLA VALE,656,4,Yishun,Semi-Detached House
2010,DALVEY VILLAS,1260,1,Tanglin,Detached House
2010,DAWN VILLE,787,4,Geylang,Apartment
2010,DE CASALLE,803,3,Bedok,Apartment
2010,DE LENTE,1334,1,Bukit Timah,Apartment
2010,DE PARADISO,909,11,Novena,Apartment
2010,DE ROYALE,1036,7,Novena,Condominium
2010,DELIGHT COURT,638,3,Geylang,Apartment
2010,DENG FU VILLE,818,6,Bedok,Apartment
2010,DERBY COURT,788,1,Novena,Apartment
2010,DERBYSHIRE HEIGHTS,825,2,Novena,Apartment
2010,DLV.,1444,3,Tanglin,Apartment
2010,DOMAIN 21,1271,19,Bukit Merah,Condominium
2010,DONG XING COURT,771,2,Bedok,Apartment
2010,DORMER PARK,1377,5,Tanglin,Condominium
2010,DORSET MANSIONS,818,2,Kallang,Apartment
2010,DOVER PARKVIEW,872,82,Queenstown,Condominium
2010,DRAYCOTT EIGHT,2214,9,Newton,Condominium
2010,DUCHESS CREST,1091,66,Bukit Timah,Condominium
2010,DUCHESS GARDEN,1273,1,Bukit Timah,Semi-Detached House
2010,DUCHESS MANOR,1469,4,Bukit Timah,Condominium
2010,DUCHESS PLACE,1433,2,Bukit Timah,Semi-Detached House
2010,DUET,988,1,Tanglin,Condominium
2010,DUKU APARTMENTS,695,2,Marine Parade,Apartment
2010,DUKU COURT,729,1,Marine Parade,Apartment
2010,DUNEARN COURT,965,2,Bukit Timah,Apartment
2010,DUNEARN ESTATE,1427,12,Novena,Detached House
2010,DUNEARN GARDENS,1568,2,Novena,Condominium
2010,DUNEARN LODGE,883,1,Bukit Timah,Apartment
2010,DUNMAN PLACE,864,5,Geylang,Apartment
2010,DUNMAN VIEW,915,14,Geylang,Condominium
2010,DYNASTY LODGE,1044,1,Bukit Timah,Apartment
2010,E-SPACE,1003,2,Bedok,Apartment
2010,E7 LODGE,691,1,Bedok,Apartment
2010,EALINE PARK,875,1,Queenstown,Terrace House
2010,EAST 25 APARTMENTS,541,1,Geylang,Apartment
2010,EAST BAY GARDENS,538,10,Bedok,Apartment
2010,EAST COAST HILL,936,5,Bedok,Semi-Detached House
2010,EAST COAST PARK,896,10,Bedok,Semi-Detached House
2010,EAST ELEGANCE,1050,4,Geylang,Apartment
2010,EAST GALLERIA,852,6,Marine Parade,Apartment
2010,EAST GROVE,752,5,Bedok,Apartment
2010,EAST MEADOWS,752,51,Bedok,Condominium
2010,EAST MEWS,794,5,Marine Parade,Apartment
2010,EAST PALM,912,3,Bedok,Apartment
2010,EAST SIGNATURE,851,4,Bedok,Apartment
2010,EAST TREASURE,834,1,Bedok,Apartment
2010,EAST VIEW,1003,8,Marine Parade,Apartment
2010,EAST VIEW GARDEN,522,13,Tampines,Detached House
2010,EASTCOVE RESIDENCES,599,1,Bedok,Apartment
2010,EASTERN LAGOON,997,22,Bedok,Condominium
2010,EASTERN RESIDENCE,695,2,Bedok,Apartment
2010,EASTPOINT GREEN,705,81,Tampines,Condominium
2010,EASTSIDE LOFT,881,5,Geylang,Apartment
2010,EASTVALE,645,21,Pasir Ris,Executive Condominium
2010,EASTWIND MANSIONS,708,4,Geylang,Apartment
2010,EASTWOOD CENTRE,504,5,Bedok,Apartment
2010,EASTWOOD GARDENS,987,1,Bedok,Terrace House
2010,EASTWOOD GREEN,633,15,Bedok,Condominium
2010,EASTWOOD GREEN TERRACES,739,4,Bedok,Terrace House
2010,EASTWOOD LODGE,603,2,Bedok,Apartment
2010,EASTWOOD PARK,688,5,Bedok,Semi-Detached House
2010,EASTWOOD VILLE,695,6,Bedok,Terrace House
2010,EASTWOOD WALK GARDENS,665,1,Bedok,Terrace House
2010,EATON PARK,833,5,Hougang,Semi-Detached House
2010,EBONY MANSIONS,780,5,Bedok,Apartment
2010,ECOVILLE,954,9,Novena,Apartment
2010,EDELWEISS PARK CONDOMINIUM,677,48,Pasir Ris,Condominium
2010,EDEN CREST,811,2,Serangoon,Apartment
2010,EDEN PARK,1356,1,Bukit Timah,Detached House
2010,EDEN VIEW,735,1,Serangoon,Apartment
2010,EIGHT @ EAST COAST,658,3,Bedok,Terrace House
2010,ELIAS GREEN,511,51,Pasir Ris,Condominium
2010,ELIAS TERRACE,839,8,Pasir Ris,Terrace House
2010,ELITE COURT,724,1,Bedok,Terrace House
2010,ELIZABETH HEIGHT,1711,2,Newton,Condominium
2010,EMERALD EAST,1123,3,Kallang,Apartment
2010,EMERALD GARDEN,1462,20,Outram,Condominium
2010,EMERALD HILL CONSERVATION AREA,3385,7,Newton,Apartment
2010,EMERALD PARK,922,23,Bukit Merah,Condominium
2010,EMERY POINT,835,4,Geylang,Apartment
2010,EMILY RESIDENCE,1277,6,Rochor,Apartment
2010,EMPRADO SUITES,852,3,Bedok,Apartment
2010,EN FU MANSIONS,523,3,Geylang,Apartment
2010,ENG AUN MANSION,855,2,Novena,Apartment
2010,ENG AUN PARK,1031,1,Novena,Detached House
2010,ENG HOON MANSIONS,718,3,Bukit Merah,Apartment
2010,ENG KONG GREEN,766,5,Bukit Timah,Condominium
2010,ENG KONG PARK,841,4,Bukit Timah,Apartment
2010,EQUATORIAL APARTMENTS,1159,5,Marine Parade,Apartment
2010,ESCADA VIEW,702,14,Bedok,Condominium
2010,ESPA,871,3,Bukit Panjang,Condominium
2010,ESPIRA RESIDENCE,831,4,Bedok,Apartment
2010,ESPIRA SPRING,791,3,Bedok,Apartment
2010,ESTELLA GARDENS,711,47,Pasir Ris,Condominium
2010,ESTERINA,1047,2,Marine Parade,Apartment
2010,ESTIQUE,1042,4,Geylang,Apartment
2010,ETON COURT,777,4,Bedok,Apartment
2010,EUNOS GREEN,687,2,Bedok,Condominium
2010,EUNOS MANSION,637,4,Bedok,Condominium
2010,EUNOS PARK,661,7,Bedok,Condominium
2010,EUPHONY GARDENS,579,34,Mandai,Condominium
2010,EURO-ASIA APARTMENTS,693,2,Kallang,Apartment
2010,EURO-ASIA COURT,1224,7,River Valley,Apartment
2010,EURO-ASIA LODGE,675,4,Geylang,Apartment
2010,EURO-ASIA PARK,731,8,Toa Payoh,Condominium
2010,EVELYN MANSIONS,1329,2,Novena,Apartment
2010,EVER LODGE,516,3,Geylang,Apartment
2010,EVERGREEN GARDEN,841,3,Bedok,Semi-Detached House
2010,EVERGREEN PARK,605,54,Hougang,Apartment
2010,EVERITT GREEN,745,2,Geylang,Apartment
2010,EWART PARK,1127,2,Bukit Timah,Detached House
2010,EWE BOON REGENT,1193,3,Tanglin,Apartment
2010,EXCELLENCE MANSION,598,1,Geylang,Apartment
2010,EXCELSIOR GARDENS,937,3,Bedok,Terrace House
2010,FABER CREST,715,24,Clementi,Condominium
2010,FABER GARDEN,857,3,Bishan,Detached House
2010,FABER GARDEN CONDOMINIUM,880,2,Bishan,Condominium
2010,FABER HILLS,813,23,Clementi,Apartment
2010,FAIRMOUNT CONDOMINIUM,671,7,Bedok,Condominium
2010,FAIRWOOD PARK,794,1,Bukit Timah,Terrace House
